Kenji0171,73.4681
Kenji0260,51.5054
Kenji0164,81.7837
Kenji0210,62.598
Kenji0488,69.3575
Kenji0455,51.1165
Kenji0216,99.8243
Kenji0120,72.6194
Kenji0004,82.9696
Kenji0446,61.2801
Kenji0376,61.9532
Kenji0303,50.8652
Kenji0428,79.4289
Kenji0483,65.951
Kenji0083,84.2003
Kenji0340,93.4653
Kenji0163,75.0564
Kenji0380,52.7075
Kenji0485,89.9966
Kenji0019,78.0836
Kenji0200,76.4438
Kenji0187,58.6584
Kenji0062,61.6863
Kenji0414,66.4253
Kenji0213,51.8023
Kenji0111,96.0603
Kenji0478,85.3112
Kenji0417,64.9908
Kenji0250,93.1571
Kenji0322,63.7951
Kenji0427,58.1852
Kenji0322,67.8583
Kenji0053,77.8683
Kenji0242,72.8213
Kenji0225,54.1422
Kenji0390,68.9869
Kenji0460,85.7918
Kenji0435,82.7159
Kenji0425,74.3456
Kenji0399,76.2333
Kenji0176,66.473
Kenji0463,58.0265
Kenji0156,72.0282
Kenji0035,90.1735
Kenji0292,76.9242
Kenji0072,77.9202
Kenji0369,76.2181
Kenji0298,82.3194
Kenji0178,81.6764
Kenji0289,87.0825
Kenji0120,60.4118
Kenji0381,75.5557
Kenji0339,76.496
Kenji0310,99.5728
Kenji0218,88.5426
Kenji0272,94.3292
Kenji0288,69.1504
Kenji0400,72.0914
Kenji0033,92.7581
Kenji0500,66.1862
Kenji0165,88.3616
Kenji0208,51.0651
Kenji0273,64.2994
Kenji0351,72.7596
Kenji0361,86.9116
Kenji0074,84.6764
Kenji0347,89.7346
Kenji0497,97.2177
Kenji0113,66.4666
Kenji0468,73.4686
Kenji0059,84.7734
Kenji0116,76.2688
Kenji0377,87.7916
Kenji0388,88.602
Kenji0495,71.7714
Kenji0170,95.4407
Kenji0180,78.4215
Kenji0239,94.8211
Kenji0049,55.5755
Kenji0296,97.4043
Kenji0381,51.0706
Kenji0319,72.3736
Kenji0440,65.6
Kenji0099,84.646
Kenji0271,80.2938
Kenji0167,82.2548
Kenji0275,63.8493
Kenji0040,71.7256
Kenji0084,84.4006
Kenji0127,65.56
Kenji0119,83.5175
Kenji0306,61.3654
Kenji0470,92.2975
Kenji0351,70.7879
Kenji0200,58.628
Kenji0104,73.2144
Kenji0244,50.1934
Kenji0416,50.235
Kenji0142,60.751
Kenji0347,63.8833
Kenji0467,73.3044
Kenji0049,57.5995
Kenji0120,75.468
Kenji0461,61.3943
Kenji0055,60.7641
Kenji0202,78.911
Kenji0036,95.4879
Kenji0253,56.3439
Kenji0080,86.1711
Kenji0080,67.6492
Kenji0460,65.5074
Kenji0397,70.293
Kenji0370,95.7076
Kenji0415,99.4637
Kenji0144,78.4434
Kenji0036,90.3479
Kenji0325,71.7038
Kenji0301,63.168
Kenji0284,83.2893
Kenji0470,90.6924
Kenji0281,82.7263
Kenji0339,63.1827
Kenji0119,55.72
Kenji0353,94.8893
Kenji0438,76.0447
Kenji0109,69.79
Kenji0266,80.9536
Kenji0228,59.631
Kenji0157,72.6892
Kenji0294,88.9902
Kenji0238,91.2049
Kenji0056,79.8021
Kenji0397,65.3287
Kenji0075,79.6711
Kenji0454,67.13
Kenji0103,70.7612
Kenji0037,77.4565
Kenji0116,59.6737
Kenji0114,91.6607
Kenji0395,67.2457
Kenji0426,98.4144
Kenji0016,97.2236
Kenji0255,62.4153
Kenji0192,98.9655
Kenji0123,53.1885
Kenji0145,96.486
Kenji0233,78.9646
Kenji0361,65.9343
Kenji0019,57.0447
Kenji0290,50.1329
Kenji0449,57.5897
Kenji0472,78.7731
Kenji0474,98.5721
Kenji0071,96.9431
Kenji0430,71.1644
Kenji0440,78.8589
Kenji0390,84.7469
Kenji0067,76.7959
Kenji0345,59.9863
Kenji0259,74.371
Kenji0348,84.1969
Kenji0308,97.0426
Kenji0073,67.8348
Kenji0405,67.265
Kenji0220,57.8082
Kenji0472,94.2859
Kenji0190,94.3673
Kenji0199,94.8426
Kenji0478,90.6766
Kenji0238,59.7711
Kenji0324,77.1811
Kenji0157,64.7234
Kenji0026,82.6133
Kenji0268,86.4529
Kenji0413,52.0799
Kenji0402,93.1142
Kenji0454,93.7922
Kenji0435,99.5303
Kenji0082,52.8285
Kenji0473,97.6856
Kenji0122,75.4808
Kenji0062,61.3516
Kenji0266,86.0614
Kenji0327,88.486
Kenji0074,75.1814
Kenji0164,69.0766
Kenji0092,97.9757
Kenji0263,62.6717
Kenji0207,87.2973
Kenji0264,72.0722
Kenji0487,98.825
Kenji0467,83.0764
Kenji0310,78.9869
Kenji0089,67
Kenji0158,98.9198
Kenji0065,74.5299
Kenji0433,70.9377
Kenji0386,69.9022
Kenji0429,54.2367
Kenji0278,66.8415
Kenji0405,73.3227
Kenji0401,77.8204
Kenji0259,93.076
Kenji0086,69.3542
Kenji0097,68.8468
Kenji0134,65.8094
